date,jour_semaine,temperature_c,budget,dish_category
2025-01-24,Ven,2.6,28.27,Grill
2025-01-24,Ven,2.6,10.99,Enfant
2025-01-25,Sam,4.2,10.28,Enfant
2025-01-25,Sam,4.2,23.25,Grill
2025-01-25,Sam,4.2,9.56,Enfant
2025-01-25,Sam,4.2,10.61,Entree
2025-01-25,Sam,4.2,6.91,Dessert
2025-01-25,Sam,4.2,23.88,Grill
2025-01-26,Dim,2.9,26.55,Grill
2025-01-26,Dim,2.9,15.44,Vegetarien
2025-01-26,Dim,2.9,19.56,Grill
2025-01-26,Dim,2.9,24.43,Grill
2025-01-27,Lun,4.5,16.57,Plat_du_jour
2025-01-27,Lun,4.5,12.71,Enfant
2025-01-27,Lun,4.5,16.53,Plat_du_jour
2025-01-27,Lun,4.5,17.79,Grill
2025-01-28,Mar,2.2,14.29,Plat_du_jour
2025-01-28,Mar,2.2,15.47,Plat_du_jour
2025-01-28,Mar,2.2,9.03,Entree
2025-01-28,Mar,2.2,17.93,Plat_du_jour
2025-01-29,Mer,6.2,12.88,Plat_du_jour
2025-01-29,Mer,6.2,20.48,Plat_du_jour
2025-01-29,Mer,6.2,18.75,Plat_du_jour
2025-01-29,Mer,6.2,19.99,Plat_du_jour
2025-01-29,Mer,6.2,19.72,Plat_du_jour
2025-01-29,Mer,6.2,18.77,Plat_du_jour
2025-01-30,Jeu,3.2,20.57,Grill
2025-01-30,Jeu,3.2,14.98,Plat_du_jour
2025-01-30,Jeu,3.2,20.0,Plat_du_jour
2025-01-31,Ven,6.7,25.39,Grill
2025-01-31,Ven,6.7,28.07,Grill
2025-01-31,Ven,6.7,8.74,Dessert
2025-01-31,Ven,6.7,24.15,Grill
2025-02-01,Sam,2.7,15.77,Vegetarien
2025-02-01,Sam,2.7,11.28,Dessert
2025-02-01,Sam,2.7,11.15,Enfant
2025-02-01,Sam,2.7,8.82,Dessert
2025-02-01,Sam,2.7,12.61,Entree
2025-02-02,Dim,4.8,15.17,Plat_du_jour
2025-02-02,Dim,4.8,9.91,Entree
2025-02-02,Dim,4.8,9.48,Dessert
2025-02-03,Lun,4.1,14.0,Plat_du_jour
2025-02-03,Lun,4.1,20.17,Grill
2025-02-03,Lun,4.1,20.64,Grill
2025-02-04,Mar,1.9,16.22,Plat_du_jour
2025-02-04,Mar,1.9,15.96,Plat_du_jour
2025-02-04,Mar,1.9,13.65,Plat_du_jour
2025-02-04,Mar,1.9,19.61,Plat_du_jour
2025-02-05,Mer,7.0,23.32,Grill
2025-02-05,Mer,7.0,9.65,Enfant
2025-02-05,Mer,7.0,15.55,Plat_du_jour
2025-02-05,Mer,7.0,9.39,Entree
2025-02-05,Mer,7.0,19.36,Plat_du_jour
2025-02-05,Mer,7.0,20.97,Plat_du_jour
2025-02-06,Jeu,6.8,19.32,Plat_du_jour
2025-02-06,Jeu,6.8,24.96,Grill
2025-02-06,Jeu,6.8,7.85,Dessert
2025-02-07,Ven,3.2,10.98,Dessert
2025-02-07,Ven,3.2,6.63,Dessert
2025-02-08,Sam,7.9,10.49,Enfant
2025-02-08,Sam,7.9,18.42,Grill
2025-02-08,Sam,7.9,7.56,Dessert
2025-02-08,Sam,7.9,12.99,Enfant
2025-02-08,Sam,7.9,19.58,Grill
2025-02-09,Dim,8.0,6.82,Dessert
2025-02-09,Dim,8.0,14.93,Plat_du_jour
2025-02-09,Dim,8.0,7.13,Dessert
2025-02-09,Dim,8.0,9.24,Dessert
2025-02-10,Lun,2.9,17.23,Plat_du_jour
2025-02-10,Lun,2.9,18.74,Grill
2025-02-10,Lun,2.9,15.67,Plat_du_jour
2025-02-10,Lun,2.9,17.65,Plat_du_jour
2025-02-10,Lun,2.9,21.93,Grill
2025-02-10,Lun,2.9,22.86,Grill
2025-02-11,Mar,4.6,10.53,Entree
2025-02-11,Mar,4.6,19.09,Plat_du_jour
2025-02-12,Mer,10.5,18.77,Plat_du_jour
2025-02-12,Mer,10.5,19.87,Plat_du_jour
2025-02-13,Jeu,5.7,22.54,Grill
2025-02-13,Jeu,5.7,7.46,Dessert
2025-02-14,Ven,9.7,10.04,Dessert
2025-02-14,Ven,9.7,22.18,Grill
2025-02-14,Ven,9.7,10.93,Enfant
2025-02-14,Ven,9.7,12.02,Vegetarien
2025-02-14,Ven,9.7,8.59,Dessert
2025-02-15,Sam,7.0,9.69,Enfant
2025-02-15,Sam,7.0,18.21,Plat_du_jour
2025-02-16,Dim,7.7,8.79,Entree
2025-02-16,Dim,7.7,9.99,Dessert
2025-02-16,Dim,7.7,21.66,Grill
2025-02-17,Lun,8.1,13.6,Plat_du_jour
2025-02-17,Lun,8.1,21.39,Plat_du_jour
2025-02-17,Lun,8.1,19.26,Plat_du_jour
2025-02-17,Lun,8.1,18.96,Plat_du_jour
2025-02-18,Mar,8.7,16.68,Plat_du_jour
2025-02-18,Mar,8.7,9.52,Enfant
2025-02-18,Mar,8.7,17.06,Plat_du_jour
2025-02-18,Mar,8.7,16.42,Plat_du_jour
2025-02-19,Mer,4.8,18.37,Plat_du_jour
2025-02-19,Mer,4.8,12.24,Entree
2025-02-19,Mer,4.8,19.08,Plat_du_jour
2025-02-19,Mer,4.8,15.67,Plat_du_jour
2025-02-19,Mer,4.8,14.54,Plat_du_jour
2025-02-19,Mer,4.8,19.52,Plat_du_jour
2025-02-20,Jeu,8.8,14.56,Plat_du_jour
2025-02-20,Jeu,8.8,17.58,Plat_du_jour
2025-02-20,Jeu,8.8,21.23,Grill
2025-02-20,Jeu,8.8,18.04,Plat_du_jour
2025-02-21,Ven,5.7,21.7,Plat_du_jour
2025-02-21,Ven,5.7,19.09,Grill
2025-02-21,Ven,5.7,11.6,Enfant
2025-02-21,Ven,5.7,8.02,Enfant
2025-02-21,Ven,5.7,25.43,Grill
2025-02-21,Ven,5.7,6.4,Dessert
2025-02-22,Sam,6.2,6.3,Dessert
2025-02-22,Sam,6.2,23.27,Grill
2025-02-22,Sam,6.2,27.77,Grill
2025-02-23,Dim,6.5,27.38,Grill
2025-02-23,Dim,6.5,10.53,Dessert
2025-02-24,Lun,8.4,14.21,Plat_du_jour
2025-02-24,Lun,8.4,22.59,Grill
2025-02-24,Lun,8.4,16.79,Vegetarien
2025-02-24,Lun,8.4,6.76,Dessert
2025-02-24,Lun,8.4,20.84,Plat_du_jour
2025-02-24,Lun,8.4,17.34,Plat_du_jour
2025-02-25,Mar,10.1,15.22,Plat_du_jour
2025-02-25,Mar,10.1,21.17,Plat_du_jour
2025-02-25,Mar,10.1,14.02,Plat_du_jour
2025-02-26,Mer,8.8,25.13,Grill
2025-02-26,Mer,8.8,17.11,Plat_du_jour
2025-02-27,Jeu,10.0,14.4,Plat_du_jour
2025-02-27,Jeu,10.0,11.12,Dessert
2025-02-27,Jeu,10.0,13.45,Vegetarien
2025-02-27,Jeu,10.0,25.48,Grill
2025-02-27,Jeu,10.0,9.47,Dessert
2025-02-27,Jeu,10.0,21.94,Grill
2025-02-28,Ven,7.6,19.28,Grill
2025-02-28,Ven,7.6,6.97,Dessert
2025-02-28,Ven,7.6,9.85,Dessert
2025-02-28,Ven,7.6,21.3,Plat_du_jour
2025-03-01,Sam,12.5,10.52,Enfant
2025-03-01,Sam,12.5,12.95,Vegetarien
2025-03-01,Sam,12.5,12.25,Enfant
2025-03-01,Sam,12.5,9.39,Enfant
2025-03-01,Sam,12.5,12.39,Enfant
2025-03-01,Sam,12.5,22.73,Grill
2025-03-02,Dim,11.3,8.35,Dessert
2025-03-02,Dim,11.3,7.88,Enfant
2025-03-02,Dim,11.3,17.8,Vegetarien
2025-03-02,Dim,11.3,6.77,Dessert
2025-03-02,Dim,11.3,25.48,Grill
2025-03-02,Dim,11.3,24.9,Grill
2025-03-03,Lun,7.1,13.26,Plat_du_jour
2025-03-03,Lun,7.1,13.57,Plat_du_jour
2025-03-04,Mar,6.1,18.93,Plat_du_jour
2025-03-04,Mar,6.1,14.85,Plat_du_jour
2025-03-04,Mar,6.1,12.84,Plat_du_jour
2025-03-04,Mar,6.1,16.28,Vegetarien
2025-03-04,Mar,6.1,18.94,Plat_du_jour
2025-03-04,Mar,6.1,9.79,Dessert
2025-03-05,Mer,6.9,13.42,Entree
2025-03-05,Mer,6.9,17.09,Plat_du_jour
2025-03-05,Mer,6.9,12.35,Enfant
2025-03-05,Mer,6.9,17.96,Plat_du_jour
2025-03-05,Mer,6.9,18.71,Plat_du_jour
2025-03-05,Mer,6.9,19.92,Plat_du_jour
2025-03-06,Jeu,8.0,16.61,Plat_du_jour
2025-03-06,Jeu,8.0,16.72,Plat_du_jour
2025-03-07,Ven,13.7,8.37,Dessert
2025-03-07,Ven,13.7,21.6,Grill
2025-03-07,Ven,13.7,17.98,Plat_du_jour
2025-03-08,Sam,13.7,10.31,Enfant
2025-03-08,Sam,13.7,8.72,Dessert
2025-03-08,Sam,13.7,10.62,Enfant
2025-03-08,Sam,13.7,20.75,Plat_du_jour
2025-03-09,Dim,10.1,7.79,Enfant
2025-03-09,Dim,10.1,22.8,Grill
2025-03-09,Dim,10.1,23.2,Grill
2025-03-09,Dim,10.1,10.8,Entree
2025-03-09,Dim,10.1,25.3,Grill
2025-03-10,Lun,12.8,27.58,Grill
2025-03-10,Lun,12.8,18.74,Plat_du_jour
2025-03-11,Mar,7.5,16.29,Plat_du_jour
2025-03-11,Mar,7.5,19.01,Plat_du_jour
2025-03-11,Mar,7.5,14.52,Plat_du_jour
2025-03-12,Mer,8.3,18.31,Vegetarien
2025-03-12,Mer,8.3,18.71,Plat_du_jour
2025-03-12,Mer,8.3,12.0,Vegetarien
2025-03-12,Mer,8.3,20.66,Grill
2025-03-12,Mer,8.3,8.2,Entree
2025-03-13,Jeu,13.6,17.55,Plat_du_jour
2025-03-13,Jeu,13.6,14.96,Plat_du_jour
2025-03-13,Jeu,13.6,15.66,Plat_du_jour
2025-03-14,Ven,9.7,10.88,Dessert
2025-03-14,Ven,9.7,20.14,Grill
2025-03-14,Ven,9.7,13.7,Enfant
2025-03-14,Ven,9.7,9.38,Enfant
2025-03-14,Ven,9.7,8.67,Dessert
2025-03-15,Sam,12.7,8.77,Enfant
2025-03-15,Sam,12.7,8.69,Enfant
2025-03-16,Dim,14.6,8.46,Dessert
2025-03-16,Dim,14.6,9.62,Dessert
2025-03-17,Lun,13.6,15.29,Plat_du_jour
2025-03-17,Lun,13.6,9.71,Entree
2025-03-18,Mar,14.4,28.1,Grill
2025-03-18,Mar,14.4,18.62,Plat_du_jour
2025-03-19,Mer,9.2,15.35,Plat_du_jour
2025-03-19,Mer,9.2,17.42,Plat_du_jour
2025-03-19,Mer,9.2,20.55,Plat_du_jour
2025-03-19,Mer,9.2,15.4,Plat_du_jour
2025-03-19,Mer,9.2,17.7,Plat_du_jour
2025-03-19,Mer,9.2,18.47,Plat_du_jour
2025-03-20,Jeu,9.8,18.21,Plat_du_jour
2025-03-20,Jeu,9.8,18.43,Plat_du_jour
2025-03-20,Jeu,9.8,16.72,Plat_du_jour
2025-03-20,Jeu,9.8,21.55,Grill
2025-03-21,Ven,14.9,10.47,Enfant
2025-03-21,Ven,14.9,7.32,Enfant
2025-03-21,Ven,14.9,8.98,Entree
2025-03-21,Ven,14.9,18.99,Grill
2025-03-21,Ven,14.9,11.48,Vegetarien
2025-03-21,Ven,14.9,13.1,Enfant
2025-03-22,Sam,11.1,13.42,Vegetarien
2025-03-22,Sam,11.1,14.45,Plat_du_jour
2025-03-22,Sam,11.1,11.91,Enfant
2025-03-22,Sam,11.1,9.22,Dessert
2025-03-22,Sam,11.1,11.21,Vegetarien
2025-03-22,Sam,11.1,8.73,Enfant
2025-03-23,Dim,14.8,19.54,Grill
2025-03-23,Dim,14.8,24.34,Grill
2025-03-23,Dim,14.8,9.77,Dessert
2025-03-23,Dim,14.8,11.58,Enfant
2025-03-24,Lun,10.0,22.31,Grill
2025-03-24,Lun,10.0,14.59,Plat_du_jour
2025-03-24,Lun,10.0,11.63,Enfant
2025-03-24,Lun,10.0,17.92,Grill
2025-03-25,Mar,15.5,14.62,Entree
2025-03-25,Mar,15.5,20.56,Grill
2025-03-25,Mar,15.5,19.36,Grill
2025-03-25,Mar,15.5,15.67,Vegetarien
2025-03-26,Mer,9.7,16.33,Plat_du_jour
2025-03-26,Mer,9.7,14.43,Plat_du_jour
2025-03-26,Mer,9.7,10.98,Enfant
2025-03-27,Jeu,15.8,13.37,Entree
2025-03-27,Jeu,15.8,14.97,Vegetarien
2025-03-27,Jeu,15.8,12.22,Enfant
2025-03-27,Jeu,15.8,15.49,Plat_du_jour
2025-03-27,Jeu,15.8,18.56,Plat_du_jour
2025-03-27,Jeu,15.8,16.0,Plat_du_jour
2025-03-28,Ven,13.2,27.55,Grill
2025-03-28,Ven,13.2,27.86,Grill
2025-03-28,Ven,13.2,25.71,Grill
2025-03-28,Ven,13.2,19.73,Grill
2025-03-28,Ven,13.2,25.55,Grill
2025-03-28,Ven,13.2,16.07,Vegetarien
2025-03-29,Sam,14.9,27.94,Grill
2025-03-29,Sam,14.9,11.65,Enfant
2025-03-29,Sam,14.9,11.35,Enfant
2025-03-30,Dim,9.7,9.25,Enfant
2025-03-30,Dim,9.7,11.76,Enfant
2025-03-30,Dim,9.7,21.39,Grill
2025-03-30,Dim,9.7,11.05,Enfant
2025-03-31,Lun,12.3,11.83,Entree
2025-03-31,Lun,12.3,24.45,Grill
2025-03-31,Lun,12.3,15.31,Vegetarien
2025-04-01,Mar,15.4,17.37,Plat_du_jour
2025-04-01,Mar,15.4,15.44,Plat_du_jour
2025-04-01,Mar,15.4,13.63,Enfant
2025-04-01,Mar,15.4,14.16,Plat_du_jour
2025-04-02,Mer,11.8,16.48,Plat_du_jour
2025-04-02,Mer,11.8,12.12,Plat_du_jour
2025-04-02,Mer,11.8,12.57,Plat_du_jour
2025-04-03,Jeu,17.9,7.19,Dessert
2025-04-03,Jeu,17.9,14.21,Vegetarien
2025-04-03,Jeu,17.9,13.62,Entree
2025-04-03,Jeu,17.9,15.7,Plat_du_jour
2025-04-03,Jeu,17.9,10.57,Entree
2025-04-04,Ven,16.2,9.71,Enfant
2025-04-04,Ven,16.2,6.89,Entree
2025-04-05,Sam,15.2,27.07,Grill
2025-04-05,Sam,15.2,23.77,Grill
2025-04-05,Sam,15.2,25.73,Grill
2025-04-05,Sam,15.2,27.71,Grill
2025-04-05,Sam,15.2,16.86,Plat_du_jour
2025-04-06,Dim,17.2,11.07,Enfant
2025-04-06,Dim,17.2,10.38,Dessert
2025-04-06,Dim,17.2,10.3,Entree
2025-04-06,Dim,17.2,9.84,Entree
2025-04-06,Dim,17.2,8.04,Enfant
2025-04-07,Lun,16.1,20.86,Plat_du_jour
2025-04-07,Lun,16.1,12.47,Enfant
2025-04-07,Lun,16.1,9.4,Dessert
2025-04-07,Lun,16.1,10.31,Entree
2025-04-07,Lun,16.1,16.09,Vegetarien
2025-04-08,Mar,13.2,11.78,Entree
2025-04-08,Mar,13.2,10.62,Entree
2025-04-08,Mar,13.2,18.39,Plat_du_jour
2025-04-09,Mer,12.4,20.07,Grill
2025-04-09,Mer,12.4,19.25,Plat_du_jour
2025-04-09,Mer,12.4,25.74,Grill
2025-04-09,Mer,12.4,15.7,Vegetarien
2025-04-09,Mer,12.4,12.5,Plat_du_jour
2025-04-10,Jeu,14.5,15.32,Vegetarien
2025-04-10,Jeu,14.5,10.21,Dessert
2025-04-11,Ven,13.6,10.14,Enfant
2025-04-11,Ven,13.6,8.82,Dessert
2025-04-11,Ven,13.6,13.75,Entree
2025-04-11,Ven,13.6,12.08,Entree
2025-04-12,Sam,12.2,13.27,Vegetarien
2025-04-12,Sam,12.2,23.03,Grill
2025-04-12,Sam,12.2,17.11,Vegetarien
2025-04-12,Sam,12.2,11.95,Entree
2025-04-13,Dim,18.4,8.51,Enfant
2025-04-13,Dim,18.4,10.31,Vegetarien
2025-04-14,Lun,17.5,17.64,Vegetarien
2025-04-14,Lun,17.5,15.65,Vegetarien
2025-04-14,Lun,17.5,23.91,Grill
2025-04-15,Mar,17.3,22.52,Grill
2025-04-15,Mar,17.3,16.28,Vegetarien
2025-04-15,Mar,17.3,10.53,Enfant
2025-04-15,Mar,17.3,19.35,Plat_du_jour
2025-04-15,Mar,17.3,15.37,Plat_du_jour
2025-04-15,Mar,17.3,10.36,Entree
2025-04-16,Mer,14.1,8.07,Dessert
2025-04-16,Mer,14.1,13.01,Plat_du_jour
2025-04-16,Mer,14.1,8.29,Dessert
2025-04-16,Mer,14.1,16.28,Plat_du_jour
2025-04-16,Mer,14.1,22.41,Grill
2025-04-16,Mer,14.1,16.43,Plat_du_jour
2025-04-17,Jeu,18.5,12.68,Enfant
2025-04-17,Jeu,18.5,20.15,Plat_du_jour
2025-04-17,Jeu,18.5,18.3,Plat_du_jour
2025-04-17,Jeu,18.5,21.7,Grill
2025-04-18,Ven,17.5,27.14,Grill
2025-04-18,Ven,17.5,13.3,Plat_du_jour
2025-04-18,Ven,17.5,26.99,Grill
2025-04-18,Ven,17.5,9.51,Entree
2025-04-18,Ven,17.5,11.05,Enfant
2025-04-18,Ven,17.5,10.28,Enfant
2025-04-19,Sam,19.7,11.08,Dessert
2025-04-19,Sam,19.7,10.73,Dessert
2025-04-19,Sam,19.7,19.56,Plat_du_jour
2025-04-19,Sam,19.7,10.81,Enfant
2025-04-19,Sam,19.7,10.43,Enfant
2025-04-19,Sam,19.7,19.03,Grill
2025-04-20,Dim,13.2,23.53,Grill
2025-04-20,Dim,13.2,25.77,Grill
2025-04-20,Dim,13.2,11.06,Dessert
2025-04-20,Dim,13.2,24.29,Grill
2025-04-20,Dim,13.2,8.56,Enfant
2025-04-20,Dim,13.2,16.66,Vegetarien
2025-04-21,Lun,20.9,11.06,Entree
2025-04-21,Lun,20.9,10.75,Enfant
2025-04-21,Lun,20.9,20.64,Plat_du_jour
2025-04-22,Mar,16.3,17.36,Plat_du_jour
2025-04-22,Mar,16.3,16.16,Plat_du_jour
2025-04-22,Mar,16.3,7.96,Dessert
2025-04-22,Mar,16.3,18.02,Plat_du_jour
2025-04-23,Mer,15.8,18.44,Plat_du_jour
2025-04-23,Mer,15.8,6.64,Dessert
2025-04-23,Mer,15.8,25.2,Grill
2025-04-23,Mer,15.8,10.44,Dessert
2025-04-24,Jeu,21.7,22.6,Grill
2025-04-24,Jeu,21.7,9.38,Entree
2025-04-24,Jeu,21.7,21.65,Grill
2025-04-24,Jeu,21.7,16.37,Plat_du_jour
2025-04-24,Jeu,21.7,10.67,Enfant
2025-04-24,Jeu,21.7,14.05,Vegetarien
2025-04-25,Ven,18.5,7.48,Dessert
2025-04-25,Ven,18.5,9.91,Dessert
2025-04-25,Ven,18.5,19.24,Grill
2025-04-25,Ven,18.5,10.25,Dessert
2025-04-25,Ven,18.5,28.0,Grill
2025-04-26,Sam,21.6,26.44,Grill
2025-04-26,Sam,21.6,11.08,Dessert
2025-04-26,Sam,21.6,7.28,Dessert
2025-04-26,Sam,21.6,18.96,Vegetarien
2025-04-26,Sam,21.6,10.25,Dessert
2025-04-26,Sam,21.6,20.74,Grill
2025-04-27,Dim,14.4,8.47,Enfant
2025-04-27,Dim,14.4,13.02,Vegetarien
2025-04-27,Dim,14.4,11.87,Dessert
2025-04-27,Dim,14.4,21.44,Grill
2025-04-27,Dim,14.4,11.52,Vegetarien
2025-04-27,Dim,14.4,22.31,Grill
2025-04-28,Lun,22.4,15.99,Plat_du_jour
2025-04-28,Lun,22.4,18.84,Plat_du_jour
2025-04-28,Lun,22.4,21.51,Plat_du_jour
2025-04-28,Lun,22.4,14.37,Plat_du_jour
2025-04-28,Lun,22.4,20.93,Grill
2025-04-29,Mar,22.3,12.82,Entree
2025-04-29,Mar,22.3,11.09,Entree
2025-04-29,Mar,22.3,16.4,Plat_du_jour
2025-04-29,Mar,22.3,17.5,Plat_du_jour
2025-04-29,Mar,22.3,14.21,Plat_du_jour
2025-04-29,Mar,22.3,12.24,Entree
2025-04-30,Mer,19.1,15.21,Plat_du_jour
2025-04-30,Mer,19.1,10.76,Entree
2025-04-30,Mer,19.1,13.23,Entree
2025-04-30,Mer,19.1,11.47,Dessert
2025-04-30,Mer,19.1,15.52,Plat_du_jour
2025-05-01,Jeu,16.7,15.19,Plat_du_jour
2025-05-01,Jeu,16.7,14.66,Plat_du_jour
2025-05-01,Jeu,16.7,18.31,Plat_du_jour
2025-05-01,Jeu,16.7,19.56,Plat_du_jour
2025-05-01,Jeu,16.7,14.69,Plat_du_jour
2025-05-02,Ven,21.9,12.41,Vegetarien
2025-05-02,Ven,21.9,14.28,Vegetarien
2025-05-03,Sam,15.8,9.12,Dessert
2025-05-03,Sam,15.8,28.16,Grill
2025-05-03,Sam,15.8,18.57,Grill
2025-05-03,Sam,15.8,23.97,Grill
2025-05-04,Dim,17.1,21.72,Grill
2025-05-04,Dim,17.1,18.08,Vegetarien
2025-05-04,Dim,17.1,20.41,Grill
2025-05-04,Dim,17.1,10.63,Enfant
2025-05-05,Lun,22.9,12.18,Dessert
2025-05-05,Lun,22.9,9.51,Entree
2025-05-05,Lun,22.9,11.57,Entree
2025-05-06,Mar,16.0,11.95,Entree
2025-05-06,Mar,16.0,11.36,Enfant
2025-05-06,Mar,16.0,16.43,Plat_du_jour
2025-05-07,Mer,23.2,19.87,Plat_du_jour
2025-05-07,Mer,23.2,19.41,Grill
2025-05-07,Mer,23.2,12.33,Vegetarien
2025-05-07,Mer,23.2,11.91,Entree
2025-05-08,Jeu,22.8,14.02,Vegetarien
2025-05-08,Jeu,22.8,11.49,Entree
2025-05-08,Jeu,22.8,7.47,Entree
2025-05-08,Jeu,22.8,12.47,Plat_du_jour
2025-05-09,Ven,22.3,7.1,Entree
2025-05-09,Ven,22.3,8.97,Dessert
2025-05-09,Ven,22.3,19.36,Grill
2025-05-10,Sam,19.2,8.37,Entree
2025-05-10,Sam,19.2,27.5,Grill
2025-05-10,Sam,19.2,27.95,Grill
2025-05-10,Sam,19.2,17.55,Vegetarien
2025-05-11,Dim,19.5,26.55,Grill
2025-05-11,Dim,19.5,15.47,Vegetarien
2025-05-11,Dim,19.5,8.24,Dessert
2025-05-11,Dim,19.5,22.73,Grill
2025-05-12,Lun,17.5,21.8,Grill
2025-05-12,Lun,17.5,19.05,Plat_du_jour
2025-05-12,Lun,17.5,23.36,Grill
2025-05-13,Mar,17.3,12.89,Vegetarien
2025-05-13,Mar,17.3,10.34,Entree
2025-05-14,Mer,19.1,12.77,Entree
2025-05-14,Mer,19.1,18.13,Plat_du_jour
2025-05-14,Mer,19.1,20.38,Plat_du_jour
2025-05-15,Jeu,18.7,17.65,Vegetarien
2025-05-15,Jeu,18.7,13.87,Vegetarien
2025-05-15,Jeu,18.7,8.2,Entree
2025-05-15,Jeu,18.7,27.07,Grill
2025-05-16,Ven,19.6,10.21,Entree
2025-05-16,Ven,19.6,22.01,Grill
2025-05-16,Ven,19.6,6.43,Dessert
2025-05-16,Ven,19.6,17.18,Grill
2025-05-16,Ven,19.6,25.98,Grill
2025-05-17,Sam,19.7,7.11,Dessert
2025-05-17,Sam,19.7,15.2,Vegetarien
2025-05-18,Dim,21.8,6.72,Dessert
2025-05-18,Dim,21.8,28.65,Grill
2025-05-18,Dim,21.8,10.72,Entree
2025-05-18,Dim,21.8,8.21,Dessert
2025-05-19,Lun,20.0,13.74,Entree
2025-05-19,Lun,20.0,19.63,Plat_du_jour
2025-05-19,Lun,20.0,14.08,Plat_du_jour
2025-05-20,Mar,20.3,12.87,Vegetarien
2025-05-20,Mar,20.3,15.16,Plat_du_jour
2025-05-20,Mar,20.3,20.41,Grill
